# doc_id,word_count,known_word_count,known_ratio,unknown_c_score,blank
11121,445,343,0.770787,1.593063,0.000000
27738,329,255,0.775076,1.708731,0.000000
15293,783,618,0.789272,1.437817,0.000000
6323,231,184,0.796537,1.611721,0.000000
